,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
0.441,,,,,,,,0.2747566748932082,0.27286919289591854,0.27463017242458776,0.2720970335070299,0.2800680128042599,0.2845151129146998,0.2918478303719613,0.2975748914188388,0.3095697531989076,0.32370968581973036,0.33758229857737954,,,,,,,,,,,,
0.038,,,,,,,,,0.3530792898834339,0.3141677068037527,0.263848776676086,0.2340099866359411,0.21408439554818712,0.21701106561503286,0.23702602513382134,0.26436865841222423,0.2889405172709409,0.3537858989544543,,,,,-0.3762446405454903,-0.3418683570351807,-0.21464716475709966,6.931791370349239e+106,1096.4852279296354,43849.31844941769,7305738.795919191,21663584312.519867
0.115,,,,,,,,,0.28390067991406787,0.27348813602823996,0.26213346133318255,0.25225533161344094,0.2516253638928533,0.2546077047888756,0.2678920000862495,0.28566516225815486,0.29963910679723793,0.33225752965200406,,,,,,,,,,,,129747.77510645486
0.192,0.3539454838998323,0.34297814832139445,0.3334142280443419,0.3136028291871852,0.3031739891820459,0.29418475287363577,0.28393501858158454,0.28313605862384594,0.27450265620545,0.2735802042277691,0.273991411021327,0.26637330322116975,0.27295103419504496,0.03337625198372989,,,,,,,,,,,,,,,,
